,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address
100030,1.0,0,0,2016-04-14 01:10:30,"New to the market! Spacious studio located in the 80s, in a well maintained elevator building with laundry room. For viewing and more information please contact Artak. ",York Avenue,[],low,40.7769,6869199,-73.9467,e32475a6134d6d18279946b7b20a0f12,['https://photos.renthop.com/2/6869199_06b2601f053d04ca5a9b19d477b7370d.jpg'],1950,1661 York Avenue
10004,1.0,1,0,2016-06-03 03:21:22,Check out this one bedroom apartment in a great location of Washington Heights.  This apartment is just a block from everything you need!  Also within walking distance to Columbia Presbyterian! This apartment won't last long on the market! Call now! Call/ Email Heidi to tour apartments in the area and anything you see here on Bohemia kagglemanager@renthop.com 189-560-4844 APARTMENT:* Dishwasher* Queen Size Sunny Bedroom* Spacious Living room* Hardwood Floors* Stainless Steel appliances * Subway (A/C &amp; 1 Trains)* Kind &amp; friendly Broker :)Located by W 173 &amp; Fort Washington  Call today and I can show you everything Bohemia has to offer189-560-4844 kagglemanager@renthop.com,W. 173rd Street,"['prewar', 'dishwasher', 'HIGHRISE', 'ROOFDECK', 'EAT IN KITCHEN', 'SIMPLEX', 'HARDWOOD']",low,40.8448,7102986,-73.9396,2dee0868ac01057760055b856e66e942,"['https://photos.renthop.com/2/7102986_ca6af538c2153c72c2e802f91f850874.jpg', 'https://photos.renthop.com/2/7102986_8e93fea086269ee7d338274df689cbe7.jpg', 'https://photos.renthop.com/2/7102986_83aba0aa0b994df3e3b58bd2537e2a28.jpg', 'https://photos.renthop.com/2/7102986_058d8cd4ccef10ddc6d203fda6673cd9.jpg', 'https://photos.renthop.com/2/7102986_e2cf9cfceabe5e92437827f06afba9a6.jpg']",1675,644 W. 173rd Street
100044,1.0,2,67c9b420da4a365bc26a6cd0ef4a5320,2016-04-19 05:37:25,"***LOW FEE. Beautiful CHERRY OAK WOODEN FLOORSTHE LOBBY IS VERY NICE AND MODERN! GORGEOUS FLEX TWO BEDROOM APARTMENT LOCATED IN THE HEART OF MURRAY HILL. Near many great restaurants, bars, entertainment, shopping and major transportation. THIS IS A STEAL AND WILL NOT LAST. Great Location 24 HR DOORMAN SPACIOUS ROOMS TONS OF SUNLIGHT IN HOUSE WASHER/DRYER FACILITY<br /><br />FOR FURTHER INFORMATION AND EXCLUSIVE VIEWING PLEASE CONTACT MEYER OVADIA AT 753-396-6626 OR VIA EMAIL AT kagglemanager@renthop.com<br /><br />NOT WHAT YOU ARE LOOKING FOR? FEEL FREE TO CONTACT ME WITH ANY SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN YOUR SEARCH<br /><br /><p><a  website_redacted ",E 38th St,"['Doorman', 'Elevator', 'Laundry in Building', 'No Fee']",high,40.7488,6895442,-73.977,537e06890f6a86dbb70c187db5be4d55,"['https://photos.renthop.com/2/6895442_34d617a5f39ba4d82c051fdd00944f1d.jpg', 'https://photos.renthop.com/2/6895442_05c03ce4e36816a81ead69c34e684091.jpg', 'https://photos.renthop.com/2/6895442_80073f81c4a3c42d58fd2d08dfdd7738.jpg', 'https://photos.renthop.com/2/6895442_2880aff759d9880cc3975130883c2553.jpg']",3000,137 E 38th St
100048,2.0,2,0,2016-04-09 01:22:11,"Lincoln Square's premier full service buildings located a short distance from Central Park, Lincoln Center, Columbus Circle and Time Warner Center.A full service condominium offering:24 hour concierge24hr doormanResident managerLaundry on every floorOn-site parking garageState of the art health club Oasis Club boasting floor to ceiling windows and Central Park viewsSwimming pool with sun deckGymSaunaMassage roomFurnished roof deck with Cabanas and BBQ grillsLounge with bar and fireplaceBilliards roomPutting GreenChildrens play roomDogs must be 20 lbs MAX ",West 63rd Street,"['Swimming Pool', 'Doorman', 'Fitness Center', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7707,6846213,-73.9817,3813434aabfbad659a45f86a740cd23f,"['https://photos.renthop.com/2/6846213_832587546a592286a08b8e1bbee6297a.jpg', 'https://photos.renthop.com/2/6846213_066be77ad8b6560003c0e6129b47f37b.jpg', 'https://photos.renthop.com/2/6846213_c92d5aa00d8466f1d538a6216ba6f7df.jpg', 'https://photos.renthop.com/2/6846213_c09b2745e27ea19c0bcb838afc25c289.jpg', 'https://photos.renthop.com/2/6846213_1f1edb1bc12010baa56a6640cb17a9bf.jpg', 'https://photos.renthop.com/2/6846213_62e1f4fd49f06b2dbd82ebf4665ee21b.jpg']",6895,30 West 63rd Street
10005,1.0,1,0,2016-06-01 03:11:01,"Spacious 1-Bedroom to fit King-sized bed comfortably.Pristine Marble Tiled Bathroom!NEW Black Tiled GRANITE Stainless Steel Kitchen!LARGE Living Area foe entertaining/relaxing!A Must See!<br /><br /><br /><br />Great location. Walking distance to major transportation centers. Hop on your bike and ride the Queensboro bridge or walk to the park and relax after a long day at work. Hop on over to the Roosevelt Island tram and take it across the East River.<br /><br />For any questions, please call Zaim at (283-814-3404.<br /><br /><br /><br /><p><a  website_redacted ",East 56th St..,"['Elevator', 'Multi-Level', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors']",low,40.7584,7089402,-73.9648,75f38d077366d7964c2f3bb80c3e7b1d,"['https://photos.renthop.com/2/7089402_66038eaa98d7c696321d3d1859ad2157.jpg', 'https://photos.renthop.com/2/7089402_27b5d3b959ecd5febfef91465a21b227.jpg', 'https://photos.renthop.com/2/7089402_441363f96345c8ef1162ea207a4ffd5e.jpg', 'https://photos.renthop.com/2/7089402_d09752e9d149683583396f32bb53dcd4.jpg', 'https://photos.renthop.com/2/7089402_ab587efe87ff84545ad43b4fcca782a0.jpg', 'https://photos.renthop.com/2/7089402_11b5ef45b275cf421af34dc071f7e1e7.jpg']",3050,315 East 56th St..
100051,1.0,0,bfb9405149bfff42a92980b594c28234,2016-04-18 02:36:00,"Stunning  full renovated studio unit. High ceilings and sleek oak strip floors enhance the spacious layout. Clean lines and stainless steel appliances complete the modern open kitchen. Generous studio features lots of closets and sound reducing and energy efficient windows. 24 hour doorman with fitness center, rooftop deck and convenient valet services.<br /><br />PLEASE CALL OR TEXT ISAAC 574-766-3744 OR EMAIL kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",East 34th Street,"['Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'No Fee']",medium,40.7439,6889043,-73.9743,dbbb6b990661b1e507a387f019bcb1a0,"['https://photos.renthop.com/2/6889043_a3e1c0043393aaa0f4deeb86c0900e78.jpg', 'https://photos.renthop.com/2/6889043_e000674321081f9f0d232bb3407bf359.jpg']",2350,340 East 34th Street
100052,1.0,2,642cc2c920512ffe2a74c28122f8b47f,2016-04-22 05:57:16,"East Village is a great community with great people and offers a good of resources. These include great bars, restaurants, prime shops, nice parks to job or just hang out.<br /><br />This spacious 2 bedroom come with the  following amenities...*Hardwood Floors*High Ceilings*Great Lighting*Marble Bathroom*Granite Kitchen<p><a  website_redacted ",1st Ave.,['Hardwood Floors'],low,40.7305,6913348,-73.983,0411b25b134141100d8214ed6ec02f56,"['https://photos.renthop.com/2/6913348_829f19ac3ca620dbd2464c3a630bbf3e.jpg', 'https://photos.renthop.com/2/6913348_47d7f31f7d4e15320642fffa0138d961.jpg', 'https://photos.renthop.com/2/6913348_cd7cf8c39ba24ea7ce200dbdb5444c43.jpg', 'https://photos.renthop.com/2/6913348_7ac33b889e1b3e5bd99ba974080edf83.jpg', 'https://photos.renthop.com/2/6913348_822bbbd267db40f2d82b5a62a3a67b53.jpg']",3650,214 1st Ave.
100053,1.0,1,0,2016-04-19 03:36:28,"*Location: Thayer St. &amp; Broadway, Manhattan*This phenomenally priced, large 1 bedroom apartment is such an amazing find. Great Size and Awesome Neighborhood. You simply have to see it! Contact me to for a viewing:  kagglemanager@renthop.com OR  391-174-0575*The Apartment:-Spacious and sunny kitchen-Extra dining area-Huge separate living room w/ bright windows-King sized bedroom w/ closet-Coat closet in entryway-Beautiful Hardwood Floors-Full-sized Bathtub-Lovely building lobby w/ elevator*The Neighborhood:-1 Block from the A train-3 Blocks to the 1 Train-Starbucks, Tryon Public House, The Park View, Mamasushi and tons of other great restaurants, bars and coffee shops in the neighborhood.-Close proximity to groceries, laundry, banks, gyms and other conveniences-1 Block from beautiful Fort Tryon Park and The Clositers-Inwood Farmer's Market and Hudson River jogging/ bike path minutes away*Contact me to get in on this amazing deal!Marie Maucort kagglemanager@renthop.com to see MORE???I can show you any apartment on our website: www.bohemiarealtygroup.comLiving in Upper Manhattan has never been more exciting... LET'S GET STARTED!**Applicants should have GOOD credit and an annual income of at least 40x the monthly rent**",Thayer St,"['prewar', 'LOWRISE', 'EAT IN KITCHEN', 'SIMPLEX', 'HARDWOOD']",low,40.8643,6894111,-73.928,ab15d581a04ed87b6f25d5aff8ddde30,"['https://photos.renthop.com/2/6894111_571fa57d00660933d9f6a802a8693e1d.jpg', 'https://photos.renthop.com/2/6894111_f37478f7043d32c907bc5a03b3228217.jpg', 'https://photos.renthop.com/2/6894111_cc5b809cf73c329f14296d5b3ad048c2.jpg', 'https://photos.renthop.com/2/6894111_3afa1e9cd1063d89d1b5209e8d995edb.jpg', 'https://photos.renthop.com/2/6894111_808b805a0177549e82bc368e5e3a32fb.jpg', 'https://photos.renthop.com/2/6894111_fc9c805a0d43765118cdd797079c4487.jpg', 'https://photos.renthop.com/2/6894111_b6b256afafb9b7e3989932db312ce11b.jpg', 'https://photos.renthop.com/2/6894111_76adc00b409958c6ad7932289decf07f.jpg']",1695,98 Thayer St
100055,1.0,4,cc4c6ae9225df6d2395c4e16c235f7ab,2016-04-20 04:00:32,        ,West 106th Street,"['No Fee', 'Cats Allowed', 'Dogs Allowed']",low,40.7999,6900220,-73.9638,8f5a9c893f6d602f4953fcc0b8e6e9b4,[],5000,127 West 106th Street
100058,1.0,1,dc3cae15729b48fec3394f9295671991,2016-04-09 03:49:42,        ,1st Avenue,"['Cats Allowed', 'Dogs Allowed']",low,40.7328,6848536,-73.9799,8f5a9c893f6d602f4953fcc0b8e6e9b4,"['https://photos.renthop.com/2/6848536_9a3e1f8778c445768e42790acb27611e.jpg', 'https://photos.renthop.com/2/6848536_cd6433570192441fb2cca7bc41359006.jpg', 'https://photos.renthop.com/2/6848536_84a1253d839a7384c16ec6e79d6e2c19.jpg', 'https://photos.renthop.com/2/6848536_ffb5b7a4d1133c2493470640fbda64cf.jpg', 'https://photos.renthop.com/2/6848536_a887ec74147cc5e495c6d16dd61ecac5.jpg', 'https://photos.renthop.com/2/6848536_0163cf38c313f10839c5a6b3d4b6d640.jpg', 'https://photos.renthop.com/2/6848536_4b695a43a3dc8a41f3fb38666e71854e.jpg', 'https://photos.renthop.com/2/6848536_ddd73add5577ddc8026df9a770c840d6.jpg', 'https://photos.renthop.com/2/6848536_787ccfb36d48e47a356ee7f7de8aeb68.jpg', 'https://photos.renthop.com/2/6848536_18c52b0ec151f2b687f27dc9a8cb22bd.jpg', 'https://photos.renthop.com/2/6848536_4946b1624feaea2a46164fa7a1212bb3.jpg', 'https://photos.renthop.com/2/6848536_2271f9ba5337a570276cbf5bb67de4f5.jpg', 'https://photos.renthop.com/2/6848536_01a3ba5c379708dc112e10f18cf2289b.jpg', 'https://photos.renthop.com/2/6848536_ea4b1b92d1c90dfc8a745e7767fea6df.jpg', 'https://photos.renthop.com/2/6848536_a441ce4725cb03eb8f62a82e90895caf.jpg', 'https://photos.renthop.com/2/6848536_275a556bd3b4396791d328fdd090aa3d.jpg', 'https://photos.renthop.com/2/6848536_1b0a498bcc3a8c52373484eae0cc8a09.jpg', 'https://photos.renthop.com/2/6848536_399719134d87011d14b4d675512732a6.jpg', 'https://photos.renthop.com/2/6848536_3f8f7384c58db8cb46fbecfb415cfa3e.jpg', 'https://photos.renthop.com/2/6848536_bcda5608a63e8f1d1972c2cb509ec289.jpg', 'https://photos.renthop.com/2/6848536_0b23050bec56b0fe0b570945d838cf25.jpg', 'https://photos.renthop.com/2/6848536_1043e756bbcb63a6052e469196ac941a.jpg', 'https://photos.renthop.com/2/6848536_2762e5984a97278eb745a3b319a5817e.jpg', 'https://photos.renthop.com/2/6848536_95f4d314062b31114ef5869a9a0a8ba1.jpg', 'https://photos.renthop.com/2/6848536_4a02112b28ee4ae36862d0acf0023b96.jpg', 'https://photos.renthop.com/2/6848536_9b0d88165db7e555b6beb2afd8a5cc9f.jpg', 'https://photos.renthop.com/2/6848536_e26ef75e1b2335f1cb4f329ee9fbcf17.jpg', 'https://photos.renthop.com/2/6848536_3403810426df4d3ee4d7327ab2e5a4f2.jpg', 'https://photos.renthop.com/2/6848536_482a7b89557e4008daa9e7ccd2815e9d.jpg', 'https://photos.renthop.com/2/6848536_1137c0a350d8fc830657c29eed788b5b.jpg', 'https://photos.renthop.com/2/6848536_8febb1886949f493ae2e513da6b7af6c.jpg', 'https://photos.renthop.com/2/6848536_043f79037f716c75af841a2b5a321014.jpg']",3973,272 1st Avenue
100062,1.0,3,205f95d4a78f1f3befda48b89edc9669,2016-04-12 02:39:45,"BEAUTIFUL 2 BEDROOM POSSIBLE CONVERSION INTO THREE BEDROOM; Newly renovated two bedroom apartment. Gourmet kitchen equipped with premium cabinetry, granite counter-tops and stainless steel appliances including dishwasher and microwave. WOOD-BURNING FIREPLACE; Extra closet space;FEATURES*Caesarstone Countertops*Dishwasher*Gas Fireplace*Great Closets*Hardwood Floors*High Ceilings*Microwave*Premium Cabinets this great amount of new space is a must see,View this specific apartment 7 days a week from 10-8:30pm with a 24 hours notice. For the best apartment match up, kindly email me what you would like in your ideal new home and make sure your moving date is less then a month away. P To schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL , CALL OR TEXT. @All pictures are copyright protected, all rights reserved to Tuval Mor.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",Madison Avenue,"['Doorman', 'Elevator', 'Dishwasher', 'Hardwood Floors']",low,40.745400000000004,6858062,-73.9845,3793e58c60343a3fd6846ca2d2ef3c7f,"['https://photos.renthop.com/2/6858062_5cfb9d9002de0c79f0f6b4e5801c34cb.jpg', 'https://photos.renthop.com/2/6858062_8e5dd49ca8e69bacc8383a52941fe6e6.jpg', 'https://photos.renthop.com/2/6858062_bec7760070153646ec57997aa96e171b.jpg', 'https://photos.renthop.com/2/6858062_5c5f7bc40c1c4ad07cde25e7b95e0bc8.jpg', 'https://photos.renthop.com/2/6858062_8ecf35caa5ca1200077e4d7c6ef69cb0.jpg', 'https://photos.renthop.com/2/6858062_76b9ed248aa63931bfd4aa5035933793.jpg']",4395,121 Madison Avenue
100063,1.0,2,ecea86b79afa539505aa4bad3ff449c6,2016-04-07 02:11:45,"No fee huge two bedroom apartment. Great location 3rd, close to NYU Medical Center. Beautiful true 2 bedroom apartment, renovated with AC, hardwood floor, new marble bathroom and great view of NY. Elevator building features laundry room and on-site garage.  Call or Email to view!","E 30th St,","['Elevator', 'Central A/C', 'Walk in Closet(s)', 'Parking', 'High Ceilings', 'Hardwood Floors', 'Renovated', 'On-site Laundry', 'No Fee']",medium,40.7427,6836760,-73.9794,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/6836760_6edeb6368325108c623804f88cfd3598.jpg', 'https://photos.renthop.com/2/6836760_28e64a6fdda720e7da5a9b70b42a7460.jpg', 'https://photos.renthop.com/2/6836760_2cbcd53baf935c2149198fb0e57b8ab4.jpg', 'https://photos.renthop.com/2/6836760_c209178403d7bd39a895b78409aa9cdb.jpg', 'https://photos.renthop.com/2/6836760_a806752866fa585fc29c8cc85b63bec8.jpg']",2999,"210 E 30th St,"
